name,number_of_seasons,vote_count,vote_average,popularity,network1,first_air_date,last_air_date,status,renewed,show_duration
Game of Thrones,8,21857,8.442,1083.917,HBO,2011-04-17,2019-05-19,Ended,FALSE,2954
Money Heist,3,17836,8.257,96.354,Netflix,2017-05-02,2021-12-03,Ended,FALSE,1676
Stranger Things,4,16161,8.624,185.711,Netflix,2016-07-15,2022-07-01,Returning Series,TRUE,2177
The Walking Dead,11,15432,8.121,489.746,AMC,2010-10-31,2022-11-20,Ended,FALSE,4403
Lucifer,6,13870,8.486,416.668,FOX,2016-01-25,2021-09-10,Ended,FALSE,2055
Riverdale,7,13180,8.479,143.75,The CW,2017-01-26,2023-08-23,Ended,FALSE,2400
Squid Game,2,13053,7.831,115.587,Netflix,2021-09-17,2021-09-17,Returning Series,TRUE,0
Breaking Bad,5,12398,8.89,247.632,AMC,2008-01-20,2013-09-29,Ended,FALSE,2079
The Good Doctor,6,11768,8.503,681.614,ABC,2017-09-25,2023-05-01,Returning Series,TRUE,2044
WandaVision,1,11308,8.3,62.893,Disney+,2021-01-15,2021-03-05,Ended,FALSE,49
The Flash,9,10642,7.797,319.767,The CW,2014-10-07,2023-05-24,Ended,FALSE,3151
The Big Bang Theory,12,10322,7.879,344.121,CBS,2007-09-24,2019-05-16,Ended,FALSE,4252
Loki,2,10136,8.2,276.759,Disney+,2021-06-09,2021-07-14,Returning Series,TRUE,35
Grey's Anatomy,19,9512,8.253,1647.218,ABC,2005-03-27,2023-05-18,Returning Series,TRUE,6626
The Mandalorian,3,9353,8.5,154.48,Disney+,2019-11-12,2023-04-19,Returning Series,TRUE,1254
The Simpsons,35,9136,7.999,439.488,FOX,1989-12-17,2023-10-01,Returning Series,TRUE,12341
Euphoria,2,9008,8.353,197.456,HBO,2019-06-16,2022-02-27,Returning Series,TRUE,987
The Umbrella Academy,4,8891,8.604,51.859,Netflix,2019-02-15,2022-06-22,Returning Series,TRUE,1223
Elite,7,8817,8.071,100.711,Netflix,2018-10-05,2022-11-18,Returning Series,TRUE,1505
The Boys,4,8721,8.474,256.856,Prime Video,2019-07-25,2022-07-07,Returning Series,TRUE,1078
The Vampire Diaries,8,8356,8.337,633.313,The CW,2009-09-10,2017-03-10,Ended,FALSE,2738
The Falcon and the Winter Soldier,1,8008,7.693,35.521,Disney+,2021-03-19,2021-04-23,Ended,FALSE,35
The 100,7,7666,7.916,127.224,The CW,2014-03-19,2020-09-30,Ended,FALSE,2387
Wednesday,2,7506,8.548,164.275,Netflix,2022-11-23,2022-11-23,Returning Series,TRUE,0
Sex Education,4,6647,8.304,1008.977,Netflix,2019-01-11,2023-09-21,Ended,FALSE,1714
Vikings,6,6385,8.086,294.196,Prime Video,2013-03-03,2020-12-30,Ended,FALSE,2859
Dark,3,6049,8.432,86.861,Netflix,2017-12-01,2020-06-27,Ended,FALSE,939
House,8,5799,8.595,239.575,FOX,2004-11-16,2012-05-21,Ended,FALSE,2743
Cobra Kai,6,5734,8.22,118.256,Netflix,2018-05-02,2022-09-09,Returning Series,TRUE,1591
Arrow,8,5569,6.793,174.419,The CW,2012-10-10,2020-01-28,Ended,FALSE,2666
Chernobyl,1,5376,8.649,67.445,HBO,2019-05-06,2019-06-03,Ended,FALSE,28
The Witcher,3,5159,8.132,240.462,Netflix,2019-12-20,2023-07-27,Returning Series,TRUE,1315
Westworld,4,4948,8.075,66.988,HBO,2016-10-02,2022-08-14,Canceled,FALSE,2142
The Act,1,4899,7.57,20.258,Hulu,2019-03-20,2019-05-01,Ended,FALSE,42
Fear the Walking Dead,8,4591,7.693,282.366,AMC,2015-08-23,2023-06-18,Returning Series,TRUE,2856
Prison Break,5,4508,8.094,213.262,FOX,2005-08-29,2017-05-30,Ended,FALSE,4292
How I Met Your Mother,9,4376,8.158,319.144,CBS,2005-09-19,2014-03-31,Ended,FALSE,3115
Better Call Saul,6,4354,8.645,104.469,AMC,2015-02-08,2022-08-15,Ended,FALSE,2745
Dark Desire,2,4181,7.3,90.553,Netflix,2020-07-15,2022-02-02,Ended,FALSE,567
The Last of Us,1,4065,8.658,145.629,HBO,2023-01-15,2023-03-12,Returning Series,TRUE,56
Marvel's Daredevil,3,4046,8.172,53.036,Netflix,2015-04-10,2018-10-19,Canceled,FALSE,1288
Supergirl,6,3974,7.334,143.229,CBS,2015-10-26,2021-11-09,Ended,FALSE,2206
Malcolm in the Middle,7,3896,8.495,188.836,FOX,2000-01-09,2006-05-14,Ended,FALSE,2317
Family Guy,22,3884,7.288,1073.325,FOX,1999-01-31,2023-10-01,Returning Series,TRUE,9009
13 Reasons Why,4,3827,7.647,131.916,Netflix,2017-03-31,2020-06-05,Ended,FALSE,1162
The Queen's Gambit,1,3810,8.524,49.644,Netflix,2020-10-23,2020-10-23,Ended,FALSE,0
Invincible,2,3717,8.677,74.551,Prime Video,2021-03-25,2021-04-29,Returning Series,TRUE,35
Scorpion,4,3688,8.246,144.243,CBS,2014-09-22,2018-04-16,Canceled,FALSE,1302
What If...?,1,3676,8.208,53.046,Disney+,2021-08-11,2021-10-06,Returning Series,TRUE,56
Lost,6,3659,7.961,145.625,ABC,2004-09-22,2010-05-23,Ended,FALSE,2069
Criminal Minds,16,3413,8.324,275.182,CBS,2005-09-22,2023-02-09,Returning Series,TRUE,6349
House of the Dragon,1,3413,8.448,182.641,HBO,2022-08-21,2022-10-23,Returning Series,TRUE,63
The Mentalist,7,3378,8.39,232.385,CBS,2008-09-23,2015-02-18,Ended,FALSE,2339
Under the Dome,3,3355,7.214,108.565,CBS,2013-06-24,2015-09-10,Canceled,FALSE,808
Arcane,2,3341,8.74,42.447,Netflix,2021-11-06,2021-11-20,Returning Series,TRUE,14
All of Us Are Dead,2,3335,8.354,107.108,Netflix,2022-01-28,2022-01-28,Returning Series,TRUE,0
Chilling Adventures of Sabrina,2,3320,8.242,123.963,Netflix,2018-10-26,2020-12-31,Ended,FALSE,797
Marvel's Agents of S.H.I.E.L.D.,7,3221,7.492,289.802,ABC,2013-09-24,2020-08-12,Ended,FALSE,2514
Gotham,5,3157,7.6,100.464,FOX,2014-09-22,2019-04-25,Ended,FALSE,1676
The Originals,5,3125,8.6,99.452,The CW,2013-10-03,2018-08-01,Ended,FALSE,1763
Band of Brothers,1,3107,8.488,70.527,HBO,2001-09-09,2001-11-04,Ended,FALSE,56
Love Is In The Air,2,2920,8.2,261.128,FOX,2020-07-08,2021-09-08,Ended,FALSE,427
Bones,12,2891,8.264,304.742,FOX,2005-09-13,2017-03-28,Ended,FALSE,4214
Hawkeye,1,2887,7.96,61.881,Disney+,2021-11-24,2021-12-22,Ended,FALSE,28
Futurama,8,2867,8.396,185.307,FOX,1999-03-28,2023-09-25,Returning Series,TRUE,8947
Two and a Half Men,12,2843,7.452,489.162,CBS,2003-09-22,2015-02-18,Ended,FALSE,4167
"Love, Death & Robots",3,2804,8.264,113.607,Netflix,2019-03-15,2022-05-20,Returning Series,TRUE,1162
It,1,2794,6.905,61.231,ABC,1990-11-18,1990-11-20,Ended,FALSE,2
True Detective,4,2787,8.305,76.26,HBO,2014-01-12,2019-02-24,Returning Series,TRUE,1869
Legacies,4,2769,8.496,148.914,The CW,2018-10-25,2022-06-16,Canceled,FALSE,1330
The X-Files,11,2726,8.397,643.863,FOX,1993-09-10,2018-03-21,Ended,FALSE,8958
iZombie,5,2628,7.797,65.145,The CW,2015-03-17,2019-08-01,Ended,FALSE,1598
Narcos,3,2493,8.006,76.746,Netflix,2015-08-28,2017-09-01,Ended,FALSE,735
The Handmaid's Tale,5,2457,8.2,684.333,Hulu,2017-04-26,2022-11-09,Returning Series,TRUE,2023
House of Cards,6,2403,8.045,67.655,Netflix,2013-02-01,2018-11-02,Ended,FALSE,2100
Moon Knight,1,2392,7.816,49.843,Disney+,2022-03-30,2022-05-04,Ended,FALSE,35
Modern Family,11,2346,7.841,168.723,ABC,2009-09-23,2020-04-08,Ended,FALSE,3850
The Sopranos,6,2292,8.6,156.471,HBO,1999-01-10,2007-06-10,Ended,FALSE,3073
Control Z,3,2242,8.227,20.708,Netflix,2020-05-22,2022-07-06,Ended,FALSE,775
Dahmer – Monster: The Jeffrey Dahmer Story,1,2228,8.061,59.532,Netflix,2022-09-21,2022-09-21,Ended,FALSE,0
The Book of Boba Fett,1,2223,7.71,47.62,Disney+,2021-12-29,2022-02-09,Ended,FALSE,42
Orange Is the New Black,7,2222,7.688,103.656,Netflix,2013-07-11,2019-07-26,Ended,FALSE,2206
The Lord of the Rings: The Rings of Power,1,2210,7.408,127.962,Prime Video,2022-09-01,2022-10-13,Returning Series,TRUE,42
Marvel's The Punisher,2,2207,8.119,48.888,Netflix,2017-11-17,2019-01-18,Canceled,FALSE,427
Marvel's Iron Fist,2,2179,6.529,10.22,Netflix,2017-03-17,2018-09-07,Canceled,FALSE,539
Fast & Furious Spy Racers,6,2166,6.976,41.373,Netflix,2019-12-26,2021-12-17,Ended,FALSE,722
9-1-1,6,2165,8.224,239.165,FOX,2018-01-03,2023-05-15,Returning Series,TRUE,1958
Fringe,5,2154,8.119,190.366,FOX,2008-09-09,2013-01-18,Ended,FALSE,1592
DC's Legends of Tomorrow,7,2130,7.332,173.189,The CW,2016-01-21,2022-03-02,Canceled,FALSE,2232
Young Sheldon,6,2124,8.057,297.324,CBS,2017-09-25,2023-05-18,Returning Series,TRUE,2061
The Pacific,1,2123,7.738,57.386,HBO,2010-03-14,2010-05-16,Ended,FALSE,63
Mindhunter,2,2099,8.069,39.398,Netflix,2017-10-13,2019-08-16,Canceled,FALSE,672
BoJack Horseman,6,2083,8.558,78.876,Netflix,2014-08-22,2020-01-31,Ended,FALSE,1988
Marvel's Jessica Jones,3,2059,7.529,28.684,Netflix,2015-11-20,2019-06-14,Ended,FALSE,1302
Superman & Lois,3,2047,8.1,157.443,The CW,2021-02-23,2023-06-27,Returning Series,TRUE,854
NCIS,20,2047,7.631,754.614,CBS,2003-09-23,2023-05-22,Returning Series,TRUE,7181
Bridgerton,3,2045,8.143,71.308,Netflix,2020-12-25,2022-03-25,Returning Series,TRUE,455
The Kardashians,4,1968,8.63,86.223,Hulu,2022-04-14,2023-09-28,Returning Series,TRUE,532
Ozark,4,1968,8.244,68.006,Netflix,2017-07-21,2022-04-29,Ended,FALSE,1743
The Haunting of Hill House,1,1953,8.1,47.223,Netflix,2018-10-12,2018-10-12,Ended,FALSE,0
Once Upon a Time,7,1948,7.315,625.792,ABC,2011-10-23,2018-05-18,Ended,FALSE,2399
The Wire,5,1889,8.535,77.897,HBO,2002-06-02,2008-03-09,Ended,FALSE,2107
Sex and the City,6,1871,7.4,91.846,HBO,1998-06-06,2004-02-22,Ended,FALSE,2087
American Dad!,20,1861,6.952,196.512,FOX,2005-02-06,2023-10-02,Returning Series,TRUE,6812
"Sex, Explained",1,1856,6.553,17.276,Netflix,2020-01-02,2020-01-02,Ended,FALSE,0
Gossip Girl,6,1852,8.302,102.347,The CW,2007-09-19,2012-12-17,Ended,FALSE,1916
Love Alarm,2,1843,8.402,28.929,Netflix,2019-08-22,2021-03-12,Ended,FALSE,568
Firefly,1,1830,8.331,43.565,FOX,2002-09-20,2002-12-20,Canceled,FALSE,91
Lupin,2,1824,7.769,124.785,Netflix,2021-01-08,2021-06-11,Returning Series,TRUE,154
She-Hulk: Attorney at Law,1,1816,6.378,45.06,Disney+,2022-08-18,2022-10-13,Ended,FALSE,56
The Wheel of Time,2,1809,7.74,489.993,Prime Video,2021-11-18,2023-09-28,Returning Series,TRUE,679
The Crown,6,1794,8.236,52.673,Netflix,2016-11-04,2022-11-09,Returning Series,TRUE,2196
